Affiliation,Facility Name,Address,City,State,Zip Code,Phone,Facility Type,Behavioral Health,Dental,Pharmacy,Website
Title 5 (638),Cherokee Nation W. W. Hastings Hospital,100 South Bliss Avenue,Tahlequah,OK,74464,(918) 458-3100,Hospital,Yes,Yes,Yes,http://www.cherokee.org/Services/Health/30866/Information.aspx
Title 5 (638),Eufaula Health Center,800 Forest Ave,Eufaula,OK,74432,(918)689-2547,Health Center,No,Yes,Yes,NULL
Title 5 (638),Cherokee Nation Redbird Smith Health Center ,301 South J.T. Stites Boulevard,Sallisaw,OK,74955,(918) 775-9150 • Toll Free: 888-797-9159,Health Center,Yes,Yes,No,http://www.cherokee.org/Services/Health/30866/Information.aspx
Title 5 (638),Cherokee Nation Willma P. Mankiller Health Center,Rt 6 Box 840 ,Stilwell,OK,74960, (918) 696-8800 • Toll Free: 877-747-8800,Health Center,Yes,Yes,No,NULL
Title 5 (638),Cherokee Nation Three Rivers Health Center,1001 South 41st Street East ,Muskogee,OK,74403,(918) 781-6500,Health Center,Yes,Yes,No,NULL
IHS,Clinton Indian Health Center,10321 N 2274 Road ,Clinton,OK,73601,(580) 323-2884,Health Center,Yes,Yes,Yes,http://www.ihs.gov/oklahoma/index.cfm?module=dsp_okao_su_clinton
IHS,White Cloud Health Station,3313B Thrasher Rd,White Cloud,KS,66094,(785) 595-3450,Health Station,No,No,No,NULL
IHS,Lawton Hospital,1515 Lawrie Tatum Road,Lawton,OK,73507,(580) 354-5000,Hospital,Yes,Yes,Yes,http://lawton.oklahoma.ihs.gov/
IHS,Anadarko Health Center,115 Northeast Old Town Drive,Anadarko,OK,73005,405-247-2458,Health Center,Yes,Yes,Yes,http://lawton.oklahoma.ihs.gov/
IHS,Carnegie Health Center,212 E 4th St ,Carnegie,OK,73015,580-654-1100,Health Center,No,No,Yes,NULL
IHS,Pawnee Health Center,1201 Heritage Circle,Pawnee,OK,74058,(918) 762-2517,Health Center,Yes,Yes,Yes,http://www.ihs.gov/oklahoma/index.cfm?module=dsp_okao_su_pawnee
Title 5 (638),Cherokee Nation W.W.Hastings Hospital,100 South Bliss Avenue,Tahlequah,OK,74464,(918) 458-3100,Hospital,Yes,Yes,No,NULL
IHS,Wewoka Indian Health Center,State Highway 56 & 270 Junction,Wewoka,OK,74884,(405) 257-6282,Health Center,Yes,Yes,Yes,http://www.ihs.gov/oklahoma/index.cfm?module=dsp_okao_su_wewoka
IHS,Haskell Health Center (Lawrence),2415 Massachusetts Street,Lawrence,KS,66046,(785) 843-3750,Health Center,Yes,Yes,Yes,http://www.ihs.gov/oklahoma/index.cfm?module=dsp_okao_su_haskell
Title 5 (638),Creek Nation Community Hospital (Okemah),309 North 14th Street,Okemah,OK,74859,(918) 623-1424,Hospital,Yes,Yes,Yes,http://174.121.93.48/~healthsy/CNCH.htm
Title 5 (638),Cherokee Nation Sam Hider Community Clinic ,1015 W Washbourne Street,Jay,OK,74346,(918) 253-4271 • Toll Free: 877-293-4271,Health Center,No,No,No,http://www.cherokee.org/Services/Health/30866/Information.aspx
Title 5 (638),Okemah Health Center,309 North 14th St,Okemah,OK,74859,918-623-1424,Health Center,No,Yes,No,http://174.121.93.48/~healthsy/CNCH.htm
Title 5 (638),Okmulgee Health Center,1313 E 20th Street,Okmulgee,OK,74447,(918)758-1926,Health Center,No,Yes,Yes,http://174.121.93.48/~healthsy/OIHC.htm
Title 5 (638),Northeastern Tribal Health System,2301 S Eight Tribes Trail,Miami,OK,74354, 918-542-1655  ,Health Center,Yes,Yes,No,http://www.nthsclinic.com/
Title 5 (638),Indian Health Care Resource Health Center,550 S Peoria,Tulsa,OK,74120,(918) 588-1900,Health Center,Yes,Yes,Yes,NULL
Title 5 (638),Cherokee Nation A-MO Health Center,900 North Owen Walters Boulevard,Salina,OK,74365, (918) 434-8500 • Toll Free: 877-434-8500,Health Center,Yes,Yes,Yes,http://www.cherokee.org/Services/Health/30866/Information.aspx
Title 5 (638),Cherokee Nation Will Rogers Health Center,1020 Lenape Drive,Nowata,OK,74048,(918) 273-7500 • Toll Free: 877-373-0192,Health Center,Yes,No,No,http://www.cherokee.org/Services/Health/30866/Information.aspx
Title 5 (638),Bearskin Health Center,1 Turtle Dr,Wyandotte,OK,74370,(918) 678-2282 or 1-888-864-0725,Health Center,No,Yes,No,NULL
Title 5 (638),Cherokee Nation Bartlesville Health Clinc,501 East 5th Street,Bartlesville,OK,74003,(918) 336-0823,Health Center,Yes,No,No,http://www.cherokee.org/Services/Health/30866/Information.aspx
Title 5 (638),Cherokee Nation Vinita Health Center,525 South Wilson,Vinita,OK,74301, (918) 323-0191,Health Center,Yes,No,No,NULL
Title 5 (638),Koweta Health Center,31870 East Highway 51,Coweta,OK,74429,(918)279-3200,Health Center,Yes,Yes,Yes,http://174.121.93.48/~healthsy/Koweta%20Clinic.htm
Title 5 (638),Sapulpa Health Center,1125 E Cleaveland Ave,Sapulpa,OK,74066,(918) 224-9310,Health Center,No,Yes,Yes,http://174.121.93.48/~healthsy/SIHC.htm
Title 5 (638),Potawatomi Nation Health & Wellness Center,11400 Road 158,Mayetta,KS,66509,785-966-8302,Health Center,No,No,No,NULL
Title 1 (Tribal),Kickapoo Nation Health Center,1117 Gold Finch Road,Horton,KS,66439,(785) 486-2154,Health Center,Yes,Yes,Yes,http://ktik-nsn.gov/nation_health_center.htm
Title 5 (638),Purcell Indian Health Clinic,1438 Hardcastle Blvd,Purcell,OK,73080,405-527-4700 or 877-584-3289,Health Center,No,No,No,NULL
Title 1 (Tribal),Eagle Pass Health Center,Rosita Valley Rd,Eagle Pass,TX,78852,(830) 757-0322,Health Center,No,No,No,NULL
Urban,Urban Inter-Tribal Center of Texas,209 E Jefferson Blvd,Dallas,TX,75203,214-941-1050,Health Center,No,Yes,Yes,NULL
Urban,Hunter Health Center ,2318 East Central,Wichita,KS,67214,(316) 303-9595 ?,Health Center,Yes,Yes,No,http://www.hunterhealthclinic.org/hhchome.htm
,Native American Cardiology Program Flagstaff,"1215 N Beaver St, #201",Flagstaff,AZ,86001,N/A,Cardiology Center,No,No,No,NULL
IHS,Fort Duchesne Health Center,2 Miles South of Bottlehollow,Fort Duchesne,UT,84026,435-722-5122,Health Center,No,No,Yes,http://www.ihs.gov/Phoenix/index.cfm?module=dsp_phx_hf_uo
IHS,Hopi Health Care Center (Keams Canyon),"Hwy 264, Mile Marker 388",Polacca,AZ,86042,(928)737-6140,Hospital,No,No,Yes,http://www.ihs.gov/Phoenix/index.cfm?module=dsp_phx_hf_hopi
IHS,Elko Health Center,515 Shoshone Circle,Elko,NV,89801,775-748-1416,Health Center,No,No,No,http://www.ihs.gov/Phoenix/index.cfm?module=dsp_phx_hf_elko
IHS,Battle Mountain Health Station,N/A,Battle Mountain,NV,89820,N/A,Health Station,No,No,No,NULL
IHS,Ely Health Station,400 Newe View Dr,Ely,NV,89301,775-289-2134,Health Station,No,No,No,NULL
IHS,Parker IHS Indian Hospital,12033 Agency Road,Parker,AZ,85344,928-669-2137,Hospital,No,No,Yes,http://www.ihs.gov/Phoenix/index.cfm?module=dsp_phx_hf_coloradoRiver
NON-IHS,Ball Club Tribal Health Station,30995 Arctic Road,Deer River,MN,56636,218-335-4500,Health Station,No,No,No,NULL
NON-IHS,Bemidji Tribal Health Station,616 America Ave,Bemidji,MN,56601,218-335-4500,Health Station,No,No,No,NULL
NON-IHS,Cass Lake Tribal Health Station,6055 161st St NW,Cass Lake,MN,56633,218-335-4500,Health Station,No,No,No,NULL
NON-IHS,Wadiswant (nest) Tribal Health Location,6055 161st St NW,Cass Lake,MN,56633,218-335-4500,Health Location,No,No,No,NULL
Title 5 (638),Penobscot Health Center,23 Wabanaki Way,Indian Island,ME,4468,207-827-6101,Health Center,Yes,Yes,No,NULL
Title 5 (638),Penobscot A/SAS Program,23 Wabanaki Way,Indian Island,ME,4468,207-817-7400,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 5 (638),Gay Head Wampanoag,20 Black Brook Road,Aquinnah,MA,2535,508-645-9265,Health Location,Yes,No,No,NULL
Title 1 (Tribal),Washoe Tribal Health Center,1559 Watasheamu Rd,Gardnerville,NV,89460,775-265-4215,Health Center,No,No,Yes,NULL
Title 1 (Tribal),Washoe Trauma Family Healing Center,1559 Watasheamu Rd,Gardnerville,NV,89460, 775-265-4215,Other,No,No,No,NULL
Title 1 (Tribal),Fallon Paiute-Shoshone Health Center,1001 Rio Vista Dr,Fallon,NV,89406,775-423-3634 X 223,Health Center,No,No,Yes,NULL
Title 1 (Tribal),Yerrington Tribal Health Center,171 Campbell Lane,Yerington,NV,89447,N/A,Health Center,No,No,No,NULL
Title 1 (Tribal),Lovelock Indian Colony Alcohol Center,201 Bowean St,Lovelock,NV,89419,(775) 273-0642,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 1 (Tribal),Walker River Paiute Alcohol Center,1025 Hospital Road,Schurz,NV,89427,775-773-2345 x161,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 1 (Tribal),Washoe Tribe Alcohol Center,1559 Watasheamu Rd,Gardnerville,NV,89460, 775-265-4215,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
Title 1 (Tribal),Yomba Shoshone Alcohol Center,N/A,Austin,NV,N/A,775-964-2466,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 1 (Tribal),White Mountain Apache Rainbow Treatment Center (Alcohol Aftercare and Alcohol Programs),302 W Ponderosa St,Whiteriver,AZ,85941,N/A,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 1 (Tribal),White Mountain Apache Behavioral Health Services (Guidance Center),249 West Ponderosa Street,Whiteriver,AZ,85941,N/A,Behavioral Health Facility,Yes,No,No,NULL
Title 1 (Tribal),Cocopah Wellness Center,W County 15 St & S Avenue G,Somerton,AZ,85350,928 627 2681,Other,No,No,No,NULL
Title 1 (Tribal),Quechan Alcohol Center,1890 - B San Pasqual Road,Winterhaven,CA,92283,760-572-4100,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 5 (638),Owyhee Community Health Facility,US PHS Nevada HWY 225,Owyhee,NV,89832,775-757-2415,Health Center,No,No,No,http://www.ihs.gov/Phoenix/index.cfm?module=dsp_phx_hf_owyhee
IHS,Duck Valley Shoshone Paiute Alcohol Center,511 Duckwater Falls Rd,Duckwater,NV,89314,775-863-0222,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Urban,"Nevada Urban Indians, Inc",1475 Terminal Way ,Reno,NV,N/A,(775) 788-7600,Behavioral Health Facility,Yes,No,No,NULL
IHS,Omak Indian Health Clinic,617 Benton St,Omak,WA,98841,(509) 422-7416,Health Station,No,Yes,No,NULL
IHS,Not-Tsoo Gah-Nee Indian Health Center,427 NW Main St,Pocatello,ID,83204,208-238-5455,Health Center,No,Yes,No,NULL
Title 5 (638),Tulalip Tribal Health Clinic,7520 Totem Beach Rd,Marysville,WA,98271,(360) 651-4515,Health Station,Yes,Yes,No,NULL
NULL,Tolt Community Clinic-Snoqualmie,4334 Tolt Ave,Carnation,WA,98014,(425) 333-6924,Health Center,No,No,No,NULL
Title 1 (Tribal),Stillaguamish Medical Clinic,902 E Maple St,Arlington,WA,98223,(360) 435-9338,Health Station,No,No,No,NULL
Title 5 (638),Sophie Trettevick Indian Health Center,"Highway 112, Clinic Road",Neah Bay,WA,98357,(360) 645-2233,Health Center,Yes,Yes,Yes,NULL
IHS,Mashpee Health Service,33 Great Neck Rd South ,Mashpee,MA,2649,508-447-0208,Health Center,No,No,No,http://www.ihs.gov/Nashville/index.cfm?module=dsp_nsh_mashpee
Title 5 (638),CIHA Wound Care,806 Acquoni Rd,Cherokee,NC,28719,828-497-9163,Other,No,Yes,No,NULL
Title 5 (638),CIHA Snowbird Health Station,50 Indian School House Road,Robbinsville,NC,28771,828-497-9163,Health Station,No,Yes,No,NULL
Title 5 (638),CIHA Murphy Clinic,288 Hilton St,Murphy,NC,28906,828-497-9163,Other,Yes,Yes,No,NULL
Title 5 (638),CIHA Murphy Clinic,328 Airport Road,Marble,NC,28905,N/A,Health Station,No,No,No,NULL
Title 5 (638),CIHA Dental Surgery,60 Hospital Road,Sylva,NC,28779,828-497-9163,Health Location,No,Yes,No,NULL
Title 5 (638),CIHA A Na Le Ni Sgi,59 Echota Church Road,Cherokee,NC,28719,828-497-9163,Behavioral Health Facility,Yes,Yes,No,NULL
Title 5 (638),Cherokee Tribal Health Service,1 Hospital Road,Cherokee,NC,28719,828-497-9163,Other,No,No,No,NULL
Title 5 (638),MS Band of Choctaw Hospital,210 Hospital Circle,Choctaw,MS,39350,601-656-2211,Hospital,Yes,Yes,No,NULL
Title 5 (638),Red Water Health Station,1930 N Pearl Street,Carthage,MS,39051,601-267-8368,Health Station,No,Yes,No,NULL
Title 5 (638),Mississippi Choctaw Indian A/SA Program,210 Hospital Circle,Choctaw,MS,39350,601-389-6291,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 1 (Tribal),Tunica Biloxi Tribe of Louisiana Health Program,171 Melacon Rd,Marksville,LA,71351,318-253-6100,Health Location,No,No,No,NULL
Title 5 (638),Poarch Creek Health Center,5811 Jack Springs Rd,Atmore,AL,36502,251-368-9136,Health Center,Yes,Yes,Yes,NULL
Title 5 (638),Creek Poarch Band S/A Program,5811 Jack Springs Rd,Atmore,AL,36502,251-368-9136,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 5 (638),Brighton Health Center,17201 Civic Street,Okeechobee,FL,34974,863-763-0271,Health Center,No,Yes,No,NULL
Title 5 (638),Mohegan Health Administration,5 Crow Hill Rd,Uncasville,CT,6382,860-862-6103,Health Location,No,No,No,NULL
IHS,Chinle Comprehensive Health Care Facility,"Off Highway 191, PHS/IHS Dr",Chinle,AZ,86503,(928) 674-7001,Hospital,Yes,Yes,Yes,http://www.ihs.gov/Navajo/index.cfm?module=nao_hcc_chinle
IHS,Tsaile Health Center,"Route 64 @ Indian Road 12, (NCC) (COLLEGE)",Tsaile,AZ,86556,928-724-3716,Health Center,No,Yes,Yes,NULL
Title 5 (638),Tazlina Health Clinic,N/A,Tazlina,AK,N/A,N/A,Alaska Village Clinic,No,No,No,NULL
Title 5 (638),Chickaloon Village Clinic,P.O. Box 1105,Chickaloon,AK,99764,907-745-0704,Alaska Village Clinic,No,No,No,http://www.chickaloon.org
Title 5 (638),"Behavioral Health Services Fireweed, SCF","4341 Tudor Centre Drive, Suite 300",Anchorage,AK,99508,"907-729-2500, Option #2; Toll Free 800-478-3343",Behavioral Health Facility,No,No,No,http://www.southcentralfoundation.com/services/ANPCC.ak
Title 5 (638),Eklutna Village Clinic,26339 Eklutna Village Road,Chugiak,AK,99567,907-688-6031,Health Center,No,No,No,http://www.eklutna-nsn.gov/
Title 5 (638),Chenega Bay Village Clinic,P.O. Box 8029,Chenega Bay,AK,99562,907-573-5129,Alaska Village Clinic,No,No,No,http://www.chugachmiut.org
Title 1 (Tribal),Chitina Village Clinic,P.O. Box 31,Chitina,AK,99566,907-823-2213,Alaska Village Clinic,No,No,No,http://www.chitinanative.com/
Title 5 (638),Iliamna Village Clinic,N/A,Iliamna,AK,N/A,N/A,Alaska Village Clinic,No,No,No,NULL
Title 5 (638),Takotna Village Clinic,N/A,Takotna,AK,N/A,907-298-2214,Alaska Village Clinic,No,No,No,http://www.southcentralfoundation.com
Title 5 (638),Nelson Lagoon Village Clinic,P.O. Box 40,Nelson Lagoon,AK,99571,907-989-2207,Alaska Village Clinic,No,No,No,http://www.eatribes.org
Title 5 (638),Valley Native Primary Care Center,"1830 E Parks Highway, Suite A134",Wasilla,AK,99654,907-352-6000,Health Center,Yes,No,No,http://www.southcentralfoundation.com
Title 5 (638),Akutan,P.O. Box 113,Akutan,AK,99553,907-698-2208,Health Center,No,No,No,http://www.eatribes.org/clinic.htm
Title 5 (638),Atka Villiage Clinic,P.O. Box 47047,Atka,AK,99547,907-839-2232,Alaska Village Clinic,No,No,No,http://apiai.org
Title 5 (638),Cold Bay (Anna Livingston Memorial Clinic),P.O. Box 65,Cold Bay,AK,99571,907-532-2000,Alaska Village Clinic,No,No,No,http://www.eatribes.org
Title 5 (638),Cordova (Ilanka Community Health Center),509 Chase Street,Cordova,AK,99574,907-424-3622,Health Center,No,No,No,http://www.nveyak.com
Title 5 (638),Nanwalek Village Clinic,P.O. Box 8023,Nanwalek,AK,99603,907-281-2251,Alaska Village Clinic,No,No,No,http:///www.chugachmiut.org
Title 5 (638),False Pass (Anna Hoblet Memorial Clinic),P.O. Box 49,False Pass,AK,99583,907-548-2241,Alaska Village Clinic,No,No,No,http://www.eatribes.org
Title 5 (638),Seldovia Health Center in Homer,880 East End Road,Homer,AK,99603,907-226-2228,Health Center,No,No,No,http://www.svthc.org
Title 5 (638),Kenai  (Dena'ina Health Center),"416 Frontage Road, Suite 200",Kenai,AK,99611,907-335-7300,Health Center,No,No,No,http://www.kenaitze.org
Title 5 (638),King Cove Health Clinic,P.O. Box 9,King Cove,AK,99612,907-497-2311,Health Center,No,No,No,http://www.eatribes.org
Title 5 (638),Kodiak  (Alutiiq Enwia Clinic),3449 E Rezanof Drive,Kodiak,AK,99615,907-486-9870,Health Center,No,No,Yes,http://www.kanaweb.org
Title 5 (638),McGrath Sub-Regional Health Center,P.O. Box 10,McGrath,AK,99627,907-524-3299,Health Center,Yes,No,No,http://www.southcentralfoundation.com
Title 5 (638),Newhalen Village Clinic,P.O. Box 227,Newhalen,AK,99606,907-571-1231,Alaska Village Clinic,No,No,No,http://www.bbahc.org
Title 5 (638),Nikolai Village Clinic,P.O. Box 9170,Nikolai,AK,99691,907-293-2328,Alaska Village Clinic,No,No,No,http://www.southcentralfoundation.com
Title 1 (Tribal),Little Diomede Village Clinic,P.O. Box 7059,Little Diomede,AK,99762,907-686-3311,Alaska Village Clinic,No,No,No,http://www.kawerak.org/tribalHomePages/diomede/index.html  and www.nortonsoundhealth.org
IHS,Rapid City Hospital,3200 Canyon Lake Drive,Rapid City,SD,57702,605-355-2200,Hospital,No,No,Yes,http://www.ihs.gov/Aberdeen/index.cfm?module=ab_ao_hf_rcsu
IHS,Rock Point Health Station,Hwy 191,Rock Point,AZ,N/A,928-659-4430,Health Station,No,No,No,NULL
IHS,Crownpoint Healthcare Facility,NM State Road 371 & Route 9,Crownpoint,NM,87313,(505) 786-6471,Hospital,Yes,Yes,Yes,http://www.ihs.gov/Navajo/crownpoint/
IHS,Thoreau Health Station,Hwy 371 & I-40,Thoreau,NM,87323,505-786-8250,Health Station,No,No,No,NULL
IHS,Pueblo Pintado Health Center,"43 miles west of Cuba, NM on Navajo HWY 9",Pueblo Pintado,NM,87313,505-655-3301,Health Center,No,Yes,No,NULL
Title 1 (Tribal),Fort Defiance Indian Hospital,"Hwy 12 & Bonito Dr, BLDG. FD 3002",Fort Defiance,AZ,86504,(928) 729-8000,Hospital,Yes,Yes,Yes,www.fdihb.org
Title 1 (Tribal),Nahata Dziil Health Center,Chiih'Toh Blvd,Sanders,AZ,86512,928-688-5600,Health Center,No,Yes,No,NULL
IHS,Window Rock Detention Center,N/A,Window Rock,AZ,86515,N/A,Other,No,No,No,NULL
IHS,Gallup Indian Medical Center,516 E Nizhoni Blvd,Gallup,NM,87301,505-722-1000,Hospital,No,Yes,Yes,http://www.ihs.gov/Navajo/index.cfm?module=nao_hcc_gallup
IHS,Tohatchi Health Center,07 Choosgai Drive,Tohatchi,NM,87325,505-733-8100,Health Center,No,Yes,Yes,http://www.ihs.gov/Navajo/index.cfm?module=nao_hcc_tohatchi
IHS,Fort Wingate Dental,N/A,Fort Wingate,NM,87316,505-722-1402,Dental Clinic,No,No,No,NULL
IHS,McKinley Manor,224 Nizhoni Blvd,Gallup,NM,87305,505-863-9551,Other,No,No,No,NULL
IHS,Little Sisters of the Poor,1900 E Mark Ave,Gallup,NM,87305,505-722-4121,Other,No,No,No,NULL
IHS,Red Rock Care Center,3720 Church Rock Rd,Gallup,NM,87301,505-722-2261,Other,No,No,No,NULL
IHS,Kayenta Health Center,"Highway 163, PHS/IHS Dr",Kayenta,AZ,86033,928-697-4000,Health Center,No,Yes,Yes,http://www.ihs.gov/Navajo/Kayenta/
IHS,Inscription House Health Center,Hwy 98 &  Navajo Route 1,Tonalea,AZ,86044,928-672-3000,Health Center,No,Yes,Yes,http://www.ihs.gov/Navajo/index.cfm?module=nao_hcc_inscription
Title 5 (638),Roger Saux Health Center,1214 Aalis Dr,Taholah,WA,98587,(360) 276-8211,Health Center,No,Yes,Yes,NULL
Title 5 (638),Sophie Trettevick Indian Health Center-Makah,250 Fort St,Neah Bay,WA,98357,(360) 645-2233,Health Center,No,No,No,NULL
Title 1 (Tribal),The Klamath Tribes Health & Wellness Center,330 Chiloquin Blvd,Chiloquin,OR,97624,(800) 246-7894,Health Center,No,Yes,No,NULL
Title 1 (Tribal),Takopid Health Center,2209 E 32nd St,Tacoma,WA,98404,(253) 593-0232,Health Center,Yes,Yes,No,NULL
Urban,NARA Indian Health Clinic,15 North Morris Street,Portland,OR,97227,503-230-9875,Health Center,No,No,Yes,www.naranorthwest.org/homepage_files/Page451.htm
Urban,Seattle Indian Health Board Health Center,611 12th Ave South,Seattle,WA,98114,N/A,Health Center,No,No,Yes,NULL
IHS,Santa Rosa Health Clinic,"Federal Route 15, MM 12",Santa Rosa,AZ,85634,520-361-2261 or 520-383-5570 ,Health Center,Yes,No,Yes,no
IHS,San Xavier Health Center,7900 SOUTH J STOCK ROAD,Tucson,AZ,85746,520-295-2550,Health Center,Yes,No,Yes,http://www.ihs.gov/Tucson/index.cfm?module=dsp_tuc_facs
IHS,San Simon Health Center,"W HWY 86, MM 74",Sells,AZ,85634,520-362-7007,Health Center,Yes,Yes,Yes,none
Title 1 (Tribal),Pascua Yaqui Health Center,7474 Camino de Oeste,Tucson,AZ,85757,520-670-6008,Health Center,Yes,No,No,NULL
Urban,Tucson Indian Center,97 E Congress Blvd #101,Tucson,AZ,85701,520-884-7131,Other,No,No,No,www.ticenter.org
NON-IHS,El Rio Yaqui,839 W Congress St,Tucson,AZ,85745,520-670-3707,Health Center,Yes,Yes,Yes,NULL
IHS,Woodrow Wilson Keeble Memorial Health Care Center,100 Lake Traverse Drive,Sisseton,SD,57262,605-698-7606,Health Center,No,No,Yes,http://www.ihs.gov/Aberdeen/index.cfm?module=ab_ao_hf_swsu
Title 5 (638),Karuk Community Health Clinic,64236 Second Avenue,Happy Camp,CA,96039,(530) 493-5257,Health Station,No,No,No,http://www.karuk.us/health/
IHS,Laguna-Acoma Teen Center,1-40 Exit 108 South,Casa Blanca,NM,87007,505-552-6922,Other,Yes,No,No,NULL
Title 5 (638),Grand Ronde Health & Wellness Center,9615 Grand Ronde Rd,Grand Ronde,OR,97347,(503) 879-5211,Health Center,Yes,Yes,Yes,NULL
IHS,David C Wyncoop Memorial Clinic,6203 Agency Loop Road,Wellpinit,WA,99040,(509) 258-4517,Health Center,No,Yes,No,NULL
Title 1 (Tribal),"Pit River Health Service, Inc. (Burney)",36977 Park Ave ,Burney,CA,96013,530-335-3651 ,Health Center,Yes,Yes,No,http://www.pitriverhealthservice.org/
Title 1 (Tribal),Quileute Tribal Health Facility,560 Quileute Heights,LaPush,WA,98350,(360) 374-9035,Health Center,Yes,Yes,No,NULL
Title 5 (638),Lower Elwha Tribe Health Clinic,243511 Hwy 101 West,Port Angeles,WA,98363,(360) 452-6252,Health Center,Yes,Yes,No,NULL
Title 5 (638),Roger Saux Health Center,1505 Kla-ook-wa Dr,Taholah,WA,98587,(360) 276-4405,Health Center,No,No,Yes,NULL
Title 1 (Tribal),NW Band of Shoshone Health & Human Services Administration,707 North Main,Brigham City,UT,84302,(435) 734-2286,Administration,No,No,No,NULL
Title 5 (638),Siletz Community Health Clinic,107 SE Swan,Siletz,OR,97380,(541) 444-2532,Health Center,Yes,Yes,No,NULL
Title 5 (638),Tulalip Health Center,"7627 41st Ave, NW",Marysville,WA,98271,N/A,Health Center,No,No,Yes,NULL
Title 1 (Tribal),Wadatika Health Center Burns Paiute,50 Pasigo St.,Burns,OR,97720,(541) 573-2088,Health Center,No,No,No,NULL
IHS,Warm Springs Health & Wellness,1270 Kotnum Rd,Warm Springs,OR,97761,(541) 553-1196,Health Center,No,Yes,No,NULL
IHS,White Swan Dental Clinic,80 Birdsong Lane,White Swan,WA,98952,N/A,Dental Clinic,No,Yes,No,NULL
Title 1 (Tribal),White Swan Health Clinic,80 Birdsong Lane,White Swan,WA,98952,(509) 874-2979,Health Station,No,No,No,NULL
Title 1 (Tribal),Inchelium Tribal Health Clinic,39 Shortcut Rd,Inchelium,WA,99138,(509) 634-7300,Health Station,No,Yes,No,NULL
Title 5 (638),Jamestown S'Klallam Family Health Center,77 N 5th Ave,Sequim,WA,98382,(360) 582-2880,Health Center,No,No,No,NULL
Title 5 (638),Lummi Indian Health Center (Bellingham),2592 Kwina Road,Bellingham,WA,98226,(360) 384-0464,Health Center,Yes,Yes,No,NULL
Title 5 (638),Kamiah Health Center,313 3rd St,Kamiah,ID,83536,(208) 935-0733,Health Center,Yes,Yes,No,NULL
Title 5 (638),Nimiipuu Health Center Nez Perce,111 Beaver Grade Road,Lapwai,ID,83540,(208) 843-2271,Health Center,Yes,Yes,No,www.google.com
Title 1 (Tribal),Nooksack Tribal Health Center,6760 Mission Rd,Everson,WA,98247,(360) 966-2106,Health Center,No,Yes,No,NULL
Title 5 (638),Port Gamble S'Klallam Tribe Health Facility,31912 Little Boston Road SE,Kingston,WA,98346,(360) 297-9661,Health Center,No,No,No,NULL
Title 5 (638),Shaktoolik Village Clinic,P.O. Box 09,Shaktoolik,AK,99771,907-955-3311,Alaska Village Clinic,No,No,No,http://www.nortonsoundhealth.org
Title 5 (638),Shishmaref (Katherine Miksruaq Olanna Memorial Clinic),P.O. Box 133,Shishmaref,AK,99772,907-649-2127,Alaska Village Clinic,No,No,No,http://www.nortonsoundhealth.org
Title 5 (638),Stebbins  (Taprarmiut Yungcarviat Village Clinic),P.O. Box 50,Stebbins,AK,99671,907-934-3311,Health Center,No,No,No,http://www.nortonsoundhealth.org
Title 5 (638),Saint Michael (Kathleen L. Kobuk Memorial Clinic),P.O. Box 94,Saint Michael,AK,99659,907-923-3311,Alaska Village Clinic,No,No,No,http://www.nortonsoundhealth.org
Title 5 (638),Teller Village Clinic,P.O. Box 545,Teller,AK,99778,907-664-3311,Alaska Village Clinic,No,No,No,http://www.nortonsoundhealth.org
Title 5 (638),Wales  (Toby Anungazuk Sr. Memorial Clinic),P.O. Box 530,Wales,AK,99684,907-664-3311,Alaska Village Clinic,No,No,No,http://www.nortonsoundhealth.org
Title 5 (638),White Mountain  (Natchirsvik Health Clinic),P.O. Box 29,White Mountain,AK,99784,907-638-3311,Alaska Village Clinic,No,No,No,htt://www.nortonsoundhealth.org
Title 5 (638),KNA Community Counseling Center (Aniak),P.O. Box 269,Aniak,AK,99557,907-675-4556,Behavioral Health Facility,Yes,No,No,http://www.ykhc.org 
Contract Inpatient,Bartlett Regional Hospital,3260 Hospital Drive,Juneau,AK,99801,907-796-8900,Hospital,No,No,No,http://www.bartletthospital.org
Contract Inpatient,Ketchikan General Hospital,3100 Tongass Avenue,Ketchikan,AK,99901,N/A,Hospital,Yes,Yes,No,NULL
IHS,Pinon Health Center,NR 4- 2 Miles East of Pinon,Pinon,AZ,86510,928-725-9637,Health Center,No,Yes,Yes,NULL
Title 5 (638),Alaska Native Medical Center,4315 Diplomacy Drive,Anchorage,AK,99508,907-563-2662,Hospital,Yes,Yes,No,http://www.anmc.org
Title 1 (Tribal),Saint George Village Clinic,N/A,Saint George,AK,N/A,907-859-2254,Alaska Village Clinic,No,No,No,http://www.apiai.org
